bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy
Firewind,www.firewind.gr/,70000tons.com/wp-content/uploads/2015/06/firewind_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Firewind,http://www.metal-archives.com/search?searchString=Firewind&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Firewind,Greece,Heavy/Power Metal,
Fleshgod Apocalypse,www.fleshgodapocalypse.com/,70000tons.com/wp-content/uploads/2015/06/fleshgod_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Fleshgod%20Apocalypse,http://www.metal-archives.com/search?searchString=Fleshgod%20Apocalypse&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Fleshgod%20Apocalypse,Italy,Symphoic/Technical Death Metal,
Gamma Ray,www.gammaray.org/,70000tons.com/wp-content/uploads/2015/08/gammaray_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Gamma%20Ray,http://www.metal-archives.com/search?searchString=Gamma%20Ray&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Gamma%20Ray,Germany,Power/Speed Metal,
Hammerfall,www.hammerfall.net/,70000tons.com/wp-content/uploads/2015/07/HAMMERFALL_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Hammerfall,http://www.metal-archives.com/search?searchString=Hammerfall&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Hammerfall,Sweden,Heavy/Power Metal,
Holy Moses,www.holymoses.net/,70000tons.com/wp-content/uploads/2015/07/holymoses_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Holy%20Moses,http://www.metal-archives.com/search?searchString=Holy%20Moses&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Holy%20Moses,Germany,Speed/Thrash Metal,
Iced Earth,www.icedearth.com/,70000tons.com/wp-content/uploads/2015/06/icedearth_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Iced%20Earth,http://www.metal-archives.com/search?searchString=Iced%20Earth&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Iced%20Earth,USA/Florida,Power/Thrash Metal,
Insomnium,www.insomnium.net/,70000tons.com/wp-content/uploads/2015/07/Insomnium_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Insomnium,http://www.metal-archives.com/search?searchString=Insomnium&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Insomnium,Finland,Melodic Death Metal,
Krisiun,www.krisiun.com.br/,70000tons.com/wp-content/uploads/2015/10/krisiun_chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Krisiun,http://www.metal-archives.com/search?searchString=Krisiun&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Krisiun,Brazil,Death Metal,
Lacuna Coil,www.lacunacoil.it/,70000tons.com/wp-content/uploads/2015/06/lacunacoil_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Lacuna%20Coil,http://www.metal-archives.com/search?searchString=Lacuna%20Coil&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Lacuna%20Coil,Italy,Gothic Metal/Rock,
Manilla Road,www.manillaroad.net/,70000tons.com/wp-content/uploads/2015/08/manillaroad_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Manilla%20Road,http://www.metal-archives.com/search?searchString=Manilla%20Road&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Manilla%20Road,USA/Kansas,Epic Heavy/Power Metal,
Moonspell,moonspell.com,70000tons.com/wp-content/uploads/2015/06/moonspell_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Moonspell,http://www.metal-archives.com/search?searchString=Moonspell&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Moonspell,Portugal,Black Metal/Gothic Metal,
My Dying Bride,'',70000tons.com/wp-content/uploads/2015/06/mydyingbride_hover.png,https://www.youtube.com/results?search_query=official+music%20video+My%20Dying%20Bride,http://www.metal-archives.com/search?searchString=My%20Dying%20Bride&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:My%20Dying%20Bride,United Kingdom,Doom/Death Metal,
Rhapsody of Fire,www.rhapsodyoffire.com/,70000tons.com/wp-content/uploads/2015/07/rhapsodyoffire_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Rhapsody%20of%20Fire,http://www.metal-archives.com/search?searchString=Rhapsody%20of%20Fire&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Rhapsody%20of%20Fire,Italy,Symphonic/Power Metal,
Rotting Christ,www.rotting-christ.com/,70000tons.com/wp-content/uploads/2015/07/rottingchrist_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Rotting%20Christ,http://www.metal-archives.com/search?searchString=Rotting%20Christ&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Rotting%20Christ,Greece,Grindcore/Black Metal/Gothic Metal,
Samael,www.samael.info/,70000tons.com/wp-content/uploads/2015/08/samael_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Samael,http://www.metal-archives.com/search?searchString=Samael&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Samael,Switzerland,Black Metal/ Electonica/Industrial Metal,
Sodom,www.sodomized.info/,70000tons.com/wp-content/uploads/2015/07/sodom_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Sodom,http://www.metal-archives.com/search?searchString=Sodom&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Sodom,Germany,Black/Speed Metal/ Thrash Metal,
Thyrfing,www.thyrfing.com/,70000tons.com/wp-content/uploads/2015/07/thyrfing_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Thyrfing,http://www.metal-archives.com/search?searchString=Thyrfing&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Thyrfing,Sweden,Viking/Black Metal,
Tsudjer,www.tsjuder.com/,70000tons.com/wp-content/uploads/2015/07/tsudjer_hover.png,https://www.youtube.com/results?search_query=metal+music+Tsudjer,http://www.metal-archives.com/search?searchString=Tsudjer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tsudjer,Norway,Black Metal,
Turisas,www.turisas.com/,70000tons.com/wp-content/uploads/2015/06/turisas_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Turisas,http://www.metal-archives.com/search?searchString=Turisas&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Turisas,Finland,Folk/Symphonic Metal,
Tyr,www.tyr.fo/,70000tons.com/wp-content/uploads/2015/07/tyr_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Tyr,http://www.metal-archives.com/search?searchString=Tyr&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tyr,Faroe Island,Progressive/Fold Metal,
Visions of Atlantis,https://www.facebook.com/visionsofatlantisofficial,70000tons.com/wp-content/uploads/2015/07/visions_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Visions%20of%20Atlantis,http://www.metal-archives.com/search?searchString=Visions%20of%20Atlantis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Visions%20of%20Atlantis,Austria,Melodic/Symphonic Power Metal,
Children Of Bodom,www.cobhc.com/,70000tons.com/wp-content/uploads/2015/06/childrenofbodom_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Children%20Of%20Bodom,http://www.metal-archives.com/search?searchString=Children%20Of%20Bodom&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Children%20Of%20Bodom,Finland,Melodic Death/Power Metal,
Vallenfyre,www.vallenfyre.co.uk/,70000tons.com/wp-content/uploads/2015/10/vallenfyre_chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Vallenfyre,http://www.metal-archives.com/search?searchString=Vallenfyre&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vallenfyre,United Kingdom,Death Metal with Doom influences,
Subway To Sally,www.subwaytosally.com/,70000tons.com/wp-content/uploads/2015/10/subwaytosally_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Subway%20To%20Sally,http://www.metal-archives.com/search?searchString=Subway%20To%20Sally&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Subway%20To%20Sally,Germany,Folk Rock/ Gothic Metal,
Squealer,www.squealer.de/,70000tons.com/wp-content/uploads/2015/10/squealer_chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Squealer,http://www.metal-archives.com/search?searchString=Squealer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Squealer,Germany,Heavy/Power Metal,
Vader,www.vader.pl/,70000tons.com/wp-content/uploads/2015/10/vader_chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Vader,http://www.metal-archives.com/search?searchString=Vader&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vader,Poland,Death/Thrash Metal,
Jag Panzer,www.jagpanzer.com/,70000tons.com/wp-content/uploads/2015/10/jagpanzer-hover.png,https://www.youtube.com/results?search_query=official+music%20video+Jag%20Panzer,http://www.metal-archives.com/search?searchString=Jag%20Panzer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Jag%20Panzer,USA/Colorado,Heavy/Power Metal,
Katatonia,katatonia.com/,70000tons.com/wp-content/uploads/2015/10/katatonia_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Katatonia,http://www.metal-archives.com/search?searchString=Katatonia&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Katatonia,Sweden,Doom/Death Metal,
Stratovarius,www.stratovarius.com/,70000tons.com/wp-content/uploads/2015/10/stratovarius_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Stratovarius,http://www.metal-archives.com/search?searchString=Stratovarius&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Stratovarius,Finland,Melodic Power Metal,
Paradise Lost,www.paradiselost.co.uk/,70000tons.com/wp-content/uploads/2015/10/ParadiseLost_chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Paradise%20Lost,http://www.metal-archives.com/search?searchString=Paradise%20Lost&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Paradise%20Lost,United Kingdom,Doom/Death Metal,
Eluveitie,eluveitie.ch//,70000tons.com/wp-content/uploads/2015/12/eluveitie-logo-web.png,https://www.youtube.com/results?search_query=official+music%20video+Eluveitie,http://www.metal-archives.com/search?searchString=Eluveitie&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Eluveitie,Switzerland,Folk/Melodic Death Metal,
Abinchova,www.abinchova.ch/,70000tons.com/wp-content/uploads/2015/12/ABINCHOVA-LOGO-WEB-HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Abinchova,http://www.metal-archives.com/search?searchString=Abinchova&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Abinchova,Switzerland,Folk/Melodic Death Metal,
Painful,https://www.facebook.com/OfficialPainful/,70000tons.com/wp-content/uploads/2015/12/PAINFUL-LOGO-WEB-HOVER.png,https://www.youtube.com/watch?v=DoRkHZQrfLU,http://www.metal-archives.com/search?searchString=Painful&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Painful,Germany,Black/Death Metal,
Twilight Force,https://www.facebook.com/pages/Twilight-Force/548969448494708,70000tons.com/wp-content/uploads/2015/12/TWILIGHT-FORCE-Logo-Web-Hover.png,https://www.youtube.com/results?search_query=official+music%20video+Twilight%20Force,http://www.metal-archives.com/search?searchString=Twilight%20Force&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Twilight%20Force,Sweden,Power Metal,
Skalmold,www.skalmold.is/,70000tons.com/wp-content/uploads/2016/01/skalmold-hover.png,https://www.youtube.com/results?search_query=official+music%20video+Skalmold,http://www.metal-archives.com/search?searchString=Skalmold&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Skalmold,Iceland,Viking/Folk Metal,
Raven,www.ravenlunatics.com/,70000tons.com/wp-content/uploads/2016/01/raven-hover.png,https://www.youtube.com/results?search_query=Raven++wiped+out,http://www.metal-archives.com/search?searchString=Raven&type=band_name,https://en.wikipedia.org/wiki/Raven_(British_band),United Kingdom,Speed Metal,
KOYI K UTHO,www.koyi.co/,70000tons.com/wp-content/uploads/2016/01/KOYI_K_UTHO_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+KOYI%20K%20UTHO,http://www.metal-archives.com/search?searchString=KOYI%20K%20UTHO&type=band_name,https://en.wikipedia.org/wiki/Koyi_k_utho,Columbia,Industrial Metal,
DIA DE LOS MUERTOS,www.ddlm.net/,70000tons.com/wp-content/uploads/2016/01/DIA-DE-LOS-MUERTES_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+DIA%20DE%20LOS%20MUERTOS,http://www.metal-archives.com/search?searchString=DIA%20DE%20LOS%20MUERTOS&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:DIA%20DE%20LOS%20MUERTOS,USA/Los Angeles,Death/Thrash/Groove Metal,
DISTILLATOR,distillator.eu/,70000tons.com/wp-content/uploads/2016/01/DISTILLATOR_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+DISTILLATOR,http://www.metal-archives.com/search?searchString=DISTILLATOR&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:DISTILLATOR,Netherlands,Thrash Metal,
SUSPERIA,www.susperia.net,70000tons.com/wp-content/uploads/2016/01/SUSPERIA_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+SUSPERIA,http://www.metal-archives.com/search?searchString=SUSPERIA&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:SUSPERIA,Norway,Melodic Black/Thrash Metal,
DEAD CROSS,https://www.facebook.com/Dead-Cross-1525248971130443/,70000tons.com/wp-content/uploads/2016/01/DEAD_CROSS_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=Dave+Lombardo+Dead+Cross,http://www.metal-archives.com/search?searchString=DEAD%20CROSS&type=band_name,http://loudwire.com/dave-lombardo-punk-band-dead-cross/,USA,Punk,
Fallujah,https://www.facebook.com/fallujahofficial/,70000tons.com/wp-content/uploads/2016/01/FALLUJAH_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Fallujah,http://www.metal-archives.com/search?searchString=Fallujah&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Fallujah,USA/San Francisco,Blackend Deathcore,
GHOUL,www.creepsylvania.com/,70000tons.com/wp-content/uploads/2016/01/GHOUL_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+GHOUL,http://www.metal-archives.com/search?searchString=GHOUL&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:GHOUL,USA/San Francisco,Death/Thrash Metal,
No Raza,www.norazametal.com/,70000tons.com/wp-content/uploads/2016/01/NO_RAZA_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+No%20Raza,http://www.metal-archives.com/search?searchString=No%20Raza&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:No%20Raza,Columbia,Death Metal,
Incantation,www.incantation.com/,70000tons.com/wp-content/uploads/2016/01/INCANTATION_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Incantation,http://www.metal-archives.com/search?searchString=Incantation&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Incantation,USA/Pennsylvania,Death Metal,
Arkona,www.arkona-russia.com/,70000tons.com/wp-content/uploads/2016/01/ARKONA_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Arkona,http://www.metal-archives.com/search?searchString=Arkona&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Arkona,Russia,Pagan Folk Metal,
Nervosa,www.nervosaofficial.com,70000tons.com/wp-content/uploads/2016/01/NERVOSA_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Nervosa,http://www.metal-archives.com/search?searchString=Nervosa&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nervosa,Brazil,Thrash Metal,All Female
Novembers Doom,www.novembersdoom.com/,70000tons.com/wp-content/uploads/2016/01/Novembers_Doom_logo_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Novembers%20Doom,http://www.metal-archives.com/search?searchString=Novembers%20Doom&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Novembers%20Doom,USA/Chicago,Death/Doom Metal,
Starkill,www.facebook.com/StarkillOfficial/,70000tons.com/wp-content/uploads/2016/01/STARKILL_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Starkill,http://www.metal-archives.com/search?searchString=Starkill&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Starkill,USA/Chicago,Symphonic/Melodic/Power Metal,
Diamond Head,www.diamond-head.net/,70000tons.com/wp-content/uploads/2016/02/DIAMOND_HEAD_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Diamond%20Head,http://www.metal-archives.com/search?searchString=Diamond%20Head&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Diamond%20Head,United Kingdom,Hard Rock,
Jamming With Waters,70000tons.com/,70000tons.com/wp-content/uploads/2014/09/forum_logo.png,https://www.youtube.com/results?search_query=official+music%20video,http://www.metal-archives.com/search?type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band,Various,Classic Rock/Metal,wordpress statistics,'',http://www.statcounter.com/wordpress.org/,https://www.youtube.com/results?search_query=official+music%20video+wordpress%20statistics,http://www.metal-archives.com/search?searchString=wordpress%20statistics&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:wordpress%20statistics
wordpress statistics,'',http://www.statcounter.com/wordpress.org/,https://www.youtube.com/results?search_query=official+music%20video+wordpress%20statistics,http://www.metal-archives.com/search?searchString=wordpress%20statistics&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:wordpress%20statistics
