Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Paradise Lost,Pool,2/1/2019,Day 2,23:45,00:45,Show, , , 
Chontaraz,Lounge,2/2/2019,Day 2,00:00,00:45,Show, , , 
Vomitory,Rink,2/2/2019,Day 2,00:45,01:30,Show, , , 
Onslaught,Theater,2/2/2019,Day 2,01:00,01:45,Show, , , 
Napalm Death,Pool,2/2/2019,Day 2,01:30,02:30,Show, , , 
In Vain,Lounge,2/2/2019,Day 2,01:45,02:30,Show, , , 
Heidevolk,Theater,2/2/2019,Day 2,02:30,03:15,Show, , , 
God Dethroned,Rink,2/2/2019,Day 2,02:30,03:15,Show, , , 
Ne Obliviscaris,Pool,2/2/2019,Day 2,03:15,04:00,Show, , , 
Nekrogoblikon,Rink,2/2/2019,Day 2,04:00,04:45,Show, , , 
Night Demon,Pool,2/2/2019,Day 2,04:45,05:30,Show, , , 
Soulfly,Sports Bar,2/1/2019,Day 2,11:00,12:30,Meet and Greet, , , 
Kamelot,Sports Bar,2/1/2019,Day 2,11:00,12:30,Meet and Greet, , , 
Eluveitie,Viking Crown,2/1/2019,Day 2,11:00,12:30,Meet and Greet, , , 
Persefone,Boleros Lounge,2/1/2019,Day 2,11:00,12:00,Meet and Greet, , , 
Ne Obliviscaris,Boleros Lounge,2/1/2019,Day 2,11:00,12:00,Meet and Greet, , , 
Exmortus,Boleros Lounge,2/1/2019,Day 2,11:00,12:00,Meet and Greet, , , 
Perpetual Warfare,Boleros Lounge,2/1/2019,Day 2,11:00,12:00,Meet and Greet, , , 
Blood Red Throne,Boleros Lounge,2/1/2019,Day 2,12:00,13:00,Meet and Greet, , , 
Krisiun,Boleros Lounge,2/1/2019,Day 2,12:00,13:00,Meet and Greet, , , 
Chontaraz,Boleros Lounge,2/1/2019,Day 2,12:00,13:00,Meet and Greet, , , 
Cyhra,Boleros Lounge,2/1/2019,Day 2,12:00,13:00,Meet and Greet, , , 
Nile,Sports Bar,2/1/2019,Day 2,12:30,14:00,Meet and Greet, , , 
Coroner,Sports Bar,2/1/2019,Day 2,12:30,14:00,Meet and Greet, , , 
Accept,Viking Crown,2/1/2019,Day 2,12:30,14:00,Meet and Greet, , , 
Riot V,Boleros Lounge,2/1/2019,Day 2,13:00,14:00,Meet and Greet, , , 
Vicious Rumors,Boleros Lounge,2/1/2019,Day 2,13:00,14:00,Meet and Greet, , , 
Internal Suffering,Boleros Lounge,2/1/2019,Day 2,13:00,14:00,Meet and Greet, , , 
Masacre,Boleros Lounge,2/1/2019,Day 2,13:00,14:00,Meet and Greet, , , 
Kalmah,Sports Bar,2/1/2019,Day 2,14:00,15:30,Meet and Greet, , , 
Dark Funeral,Sports Bar,2/1/2019,Day 2,14:00,15:30,Meet and Greet, , , 
Sodom,Viking Crown,2/1/2019,Day 2,14:00,15:30,Meet and Greet, , , 
Gloryhammer,Boleros Lounge,2/1/2019,Day 2,14:00,15:00,Meet and Greet, , , 
Twilight Force,Boleros Lounge,2/1/2019,Day 2,14:00,15:00,Meet and Greet, , , 
Bodyfarm,Boleros Lounge,2/1/2019,Day 2,14:00,15:00,Meet and Greet, , , 
Carnation,Boleros Lounge,2/1/2019,Day 2,14:00,15:00,Meet and Greet, , , 
Warbringer,Boleros Lounge,2/1/2019,Day 2,15:00,16:00,Meet and Greet, , , 
Night Demon,Boleros Lounge,2/1/2019,Day 2,15:00,16:00,Meet and Greet, , , 
God Dethroned,Boleros Lounge,2/1/2019,Day 2,15:00,16:00,Meet and Greet, , , 
Convulse,Boleros Lounge,2/1/2019,Day 2,15:00,16:00,Meet and Greet, , , 
Ensiferum,Sports Bar,2/1/2019,Day 2,15:30,17:00,Meet and Greet, , , 
Obituary,Sports Bar,2/1/2019,Day 2,15:30,17:00,Meet and Greet, , , 
Rage,Viking Crown,2/1/2019,Day 2,15:30,17:00,Meet and Greet, , , 
Visions Of Atlantis,Boleros Lounge,2/1/2019,Day 2,16:00,17:00,Meet and Greet, , , 
Mayan,Boleros Lounge,2/1/2019,Day 2,16:00,17:00,Meet and Greet, , , 
Fleshgod Apocalypse,Boleros Lounge,2/1/2019,Day 2,16:00,17:00,Meet and Greet, , , 
Atrocity,Boleros Lounge,2/1/2019,Day 2,16:00,17:00,Meet and Greet, , , 
Delain,Sports Bar,2/1/2019,Day 2,17:00,18:30,Meet and Greet, , , 
Tiamat,Sports Bar,2/1/2019,Day 2,17:00,18:30,Meet and Greet, , , 
Subway To Sally,Viking Crown,2/1/2019,Day 2,17:00,18:30,Meet and Greet, , , 
Pestilence,Boleros Lounge,2/1/2019,Day 2,17:00,18:00,Meet and Greet, , , 
Vomitory,Boleros Lounge,2/1/2019,Day 2,17:00,18:00,Meet and Greet, , , 
TYR,Boleros Lounge,2/1/2019,Day 2,17:00,18:00,Meet and Greet, , , 
Svartsot,Boleros Lounge,2/1/2019,Day 2,17:00,18:00,Meet and Greet, , , 
Raven,Boleros Lounge,2/1/2019,Day 2,18:00,19:00,Meet and Greet, , , 
Grim Reaper,Boleros Lounge,2/1/2019,Day 2,18:00,19:00,Meet and Greet, , , 
In Vain,Boleros Lounge,2/1/2019,Day 2,18:00,19:00,Meet and Greet, , , 
Mors Principium Est,Boleros Lounge,2/1/2019,Day 2,18:00,19:00,Meet and Greet, , , 
Onslaught,Sports Bar,2/1/2019,Day 2,18:30,20:00,Meet and Greet, , , 
Paradise Lost,Viking Crown,2/1/2019,Day 2,18:30,20:00,Meet and Greet, , , 
Dragony,Boleros Lounge,2/1/2019,Day 2,19:00,20:00,Meet and Greet, , , 
Unleash The Archers,Boleros Lounge,2/1/2019,Day 2,19:00,20:00,Meet and Greet, , , 
Temperance,Boleros Lounge,2/1/2019,Day 2,19:00,20:00,Meet and Greet, , , 
Tristania,Boleros Lounge,2/1/2019,Day 2,19:00,20:00,Meet and Greet, , , 
Napalm Death,Sports Bar,2/1/2019,Day 2,20:00,21:30,Meet and Greet, , , 
Bloodbath,Viking Crown,2/1/2019,Day 2,20:00,21:30,Meet and Greet, , , 
Arkona,Boleros Lounge,2/1/2019,Day 2,20:00,21:00,Meet and Greet, , , 
Heidevolk,Boleros Lounge,2/1/2019,Day 2,20:00,21:00,Meet and Greet, , , 
Van Canto,Boleros Lounge,2/1/2019,Day 2,20:00,21:00,Meet and Greet, , , 
Nekrogoblikon,Boleros Lounge,2/1/2019,Day 2,21:00,22:00,Meet and Greet, , , 
The Black Dahlia Murder,Boleros Lounge,2/1/2019,Day 2,21:00,22:00,Meet and Greet, , , 
Cyhra,Lounge,1/31/2019,Day 1,23:15,00:00,Show, , , 
Delain,Pool,2/2/2019,Day 3,17:00,17:45,Show, , , 
Chontaraz,Rink,2/2/2019,Day 3,17:00,17:45,Show, , , 
TYR,Theater,2/2/2019,Day 3,17:45,18:30,Show, , , 
Vicious Rumors,Lounge,2/2/2019,Day 3,17:45,18:30,Show, , , 
Dark Funeral,Pool,2/2/2019,Day 3,18:30,19:30,Show, , , 
Perpetual Warfare,Rink,2/2/2019,Day 3,18:30,19:15,Show, , , 
Paradise Lost,Theater,2/2/2019,Day 3,19:15,20:15,Show, , , 
Exmortus,Lounge,2/2/2019,Day 3,19:30,20:15,Show, , , 
Sodom,Pool,2/2/2019,Day 3,20:15,21:15,Show, , , 
Dragony,Rink,2/2/2019,Day 3,20:15,21:00,Show, , , 
God Dethroned,Lounge,2/2/2019,Day 3,21:00,21:45,Show, , , 
Subway To Sally,Theater,2/2/2019,Day 3,21:15,22:15,Show, , , 
Carnation,Rink,2/2/2019,Day 3,22:00,22:45,Show, , , 
Rage,Pool,2/2/2019,Day 3,22:15,23:30,Show, , , 
Atrocity,Lounge,2/2/2019,Day 3,22:45,23:30,Show, , , 
Napalm Death,Theater,2/2/2019,Day 3,23:30,00:30,Show, , , 
Svartsot,Rink,2/2/2019,Day 3,23:45,00:30,Show, , , 
Tiamat,Pool,2/3/2019,Day 3,00:30,01:30,Show, ,Wild Honey Show, 
Bodyfarm,Lounge,2/3/2019,Day 3,00:30,01:15,Show, , , 
Coroner,Theater,2/3/2019,Day 3,01:30,02:15,Show, , , 
Heidevolk,Rink,2/3/2019,Day 3,01:30,02:15,Show, , , 
The Black Dahlia Murder,Pool,2/3/2019,Day 3,02:15,03:00,Show, , , 
Grim Reaper,Lounge,2/3/2019,Day 3,02:15,03:00,Show, , , 
Mayan,Theater,2/3/2019,Day 3,03:00,03:45,Show, , , 
Unleash The Archers,Rink,2/3/2019,Day 3,03:00,03:45,Show, , , 
Mors Principium Est,Pool,2/3/2019,Day 3,03:45,04:30,Show, , , 
Blood Red Throne,Rink,2/3/2019,Day 3,04:30,05:15,Show, , , 
Twilight Force,Pool,2/3/2019,Day 3,05:15,06:00,Show, , , 
Visions Of Atlantis,Pool,2/3/2019,Day 4,10:00,10:45,Show, , , 
Convulse,Rink,2/3/2019,Day 4,10:45,11:30,Show, , , 
Tristania,Pool,2/3/2019,Day 4,11:30,12:15,Show, , , 
Belly Flop Contest,Solarium,2/3/2019,Day 4,12:15,13:15,Special Event,https://www.dropbox.com/s/p043qh3mzjoloke/70K%20All%20Brutal%20Belly%20Flop%20Bonanza.txt?raw=1,,https://www.dropbox.com/s/aqi1k1fhfsfcdx0/BellyFlop.png?raw=1
Van Canto,Theater,2/3/2019,Day 4,12:15,13:00,Show, , , 
Internal Suffering,Rink,2/3/2019,Day 4,12:15,13:00,Show, , , 
Riot V,Pool,2/3/2019,Day 4,13:15,14:00,Show, , , 
Masacre,Lounge,2/3/2019,Day 4,13:15,14:00,Show, , , 
All Star Jam,Theater,2/3/2019,Day 4,14:00,15:30,Special Event,https://www.dropbox.com/s/sx91i6btlmuh27m/Jamming%20In%20International%20Waters.txt?raw=1,,https://www.dropbox.com/s/cb0a6mvq760tjru/jammingWithWaters.png?raw=1
Ne Obliviscaris,Rink,2/3/2019,Day 4,14:00,14:45,Show, , , 
Bloodbath,Pool,2/3/2019,Day 4,14:45,15:45,Show, , , 
Night Demon,Lounge,2/3/2019,Day 4,14:45,15:30,Show, , , 
Persefone,Rink,2/3/2019,Day 4,15:30,16:15,Show, , , 
Nekrogoblikon,Theater,2/3/2019,Day 4,16:15,17:00,Show, , , 
Warbringer,Lounge,2/3/2019,Day 4,16:15,17:00,Show, , , 
Obituary,Pool,2/3/2019,Day 4,16:30,17:30,Show, , , 
Raven,Rink,2/3/2019,Day 4,17:00,17:45,Show, , , 
Krisiun,Theater,2/3/2019,Day 4,17:45,18:30,Show, , , 
Temperance,Lounge,2/3/2019,Day 4,17:45,18:30,Show, , , 
Kalmah,Pool,2/3/2019,Day 4,18:15,19:15,Show, , , 
Nile,Rink,2/3/2019,Day 4,18:30,19:30,Show, , , 
Arkona,Theater,2/3/2019,Day 4,19:15,20:00,Show, , , 
Gloryhammer,Lounge,2/3/2019,Day 4,19:15,20:00,Show, , , 
Ensiferum,Pool,2/3/2019,Day 4,20:00,21:00,Show, , , 
Onslaught,Rink,2/3/2019,Day 4,20:15,21:00,Show, , , 
Kamelot,Theater,2/3/2019,Day 4,20:45,21:45,Show, , , 
Pestilence,Lounge,2/3/2019,Day 4,21:00,21:45,Show, , , 
Soulfly,Pool,2/3/2019,Day 4,21:45,22:45,Show, ,Return To Roots, 
In Vain,Rink,2/3/2019,Day 4,21:45,22:30,Show, , , 
Eluveitie,Theater,2/3/2019,Day 4,22:45,00:00,Show, , , 
Vomitory,Lounge,2/3/2019,Day 4,22:30,23:15,Show, , , 
Cyhra,Rink,2/3/2019,Day 4,23:15,00:00,Show, , , 
Accept,Pool,2/3/2019,Day 4,23:45,01:00,Show, , , 
Skipper's Thank You,Pool,2/4/2019,Day 4,01:00,01:30,Special Event,https://www.dropbox.com/s/5vyfygh4mu7nzl9/Skipper%20Thank%20You.txt?raw=1,,https://www.dropbox.com/s/29l042jutb4payw/skipperThankYou.png?raw=1
Fleshgod Apocalypse,Theater,2/4/2019,Day 4,01:15,02:00,Show, , , 
Final Karaoke,Solarium,2/4/2019,Day 4,01:30,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Eluveitie,Boleros Lounge,2/3/2019,Day 4,11:00,12:00,Clinic, ,Song Writing Clinic, 
Warbringer,Boleros Lounge,2/3/2019,Day 4,13:00,14:00,Clinic, ,Drum Clinic, 
Rage,Boleros Lounge,2/3/2019,Day 4,16:00,17:00,Clinic, ,Guitar Clinic, 
Mayan,Boleros Lounge,2/3/2019,Day 4,18:00,19:00,Clinic, ,Fretless Bass Clinic, 
Raven,Boleros Lounge,2/3/2019,Day 4,20:00,21:00,Clinic, ,Bass Clinic, 
