Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL,ImageDate
Decembre Noir,Lounge,04/19/2026,Day 2,19:15,20:00,Show,,,,
Pessimist,Rink,04/19/2026,Day 2,19:15,20:00,Show,,,,
Lord of the Lost,Rink,04/19/2026,Day 2,20:00,20:45,Show,,,,
Stratovarius,Pool,04/19/2026,Day 2,20:00,21:05,Show,Vision,,,
Ereb Altor,Lounge,04/19/2026,Day 2,20:45,21:30,Show,,,,
Edenbridge,Pool,04/19/2026,Day 2,21:05,21:50,Show,,,,
Batushka,Rink,04/19/2026,Day 2,21:00,22:00,Show,,,,
Swallow The Sun,Theater,04/19/2026,Day 2,21:00,22:15,Show,,Featuring Ballet Finland,,
Skeletal Remains,Lounge,04/19/2026,Day 2,21:30,22:15,Show,,,,
Haggard,Lounge,04/19/2026,Day 2,22:15,23:15,Show,,,,
Blood Red Throne,Rink,04/19/2026,Day 2,22:15,23:00,Show,,New Album World Premiere,,
Fleshcrawl,Lounge,04/19/2026,Day 2,23:15,00:00,Show,,,,
Sepultura,Theater,04/19/2026,Day 2,23:15,00:30,Show,,Farewell At Sea,,
Firewind,Rink,04/19/2026,Day 2,23:45,00:30,Show,,,,
Wind Rose,Pool,04/20/2026,Day 2,00:00,1:00,Show,,,,
Batushka,Lounge,04/20/2026,Day 2,00:30,01:30,Show,,,,
Pessimist,Lounge,04/20/2026,Day 2,02:15,03:00,Show,,,,
Iotunn,Rink,04/20/2026,Day 2,03:00,03:45,Show,,,,
Blood Red Throne,Theater,04/20/2026,Day 2,03:00,03:45,Show,,,,
Incantation,Lounge,04/20/2026,Day 2,03:00,03:45,Show,,,,
Skeletal Remains,Rink,04/20/2026,Day 2,04:15,5:00,Show,,,,
Darkane,Theater,04/20/2026,Day 3,10:45,11:30,Show,,,,
Minipony,Rink,04/20/2026,Day 3,11:30,12:15,Show,,,,
Satan,Rink,04/20/2026,Day 3,14:30,15:15,Show,,,,
Ereb Altor,Lounge,04/20/2026,Day 3,15:15,16:00,Show,,,,
Firewind,Pool,04/20/2026,Day 3,16:00,16:45,Show,,,,
T.H.E.M,Lounge,04/20/2026,Day 3,16:45,17:30,Show,,,,
Reaping Asmodeia,Rink,04/20/2026,Day 3,17:00,17:45,Show,,,,
Haggard,Pool,04/20/2026,Day 3,17:45,18:45,Show,,,,
Matalobos,Lounge,04/20/2026,Day 3,19:30,20:15,Show,,,,
Vision Divine,Rink,04/20/2026,Day 3,19:30,20:15,Show,,,,
Trick Or Treat,Rink,04/20/2026,Day 3,20:30,21:15,Show,,,,
Grave Digger,Theater,04/20/2026,Day 3,20:30,21:30,Show,,,,
Dark Tranquillity,Pool,04/20/2026,Day 3,20:45,21:45,Show,,,,
In Virtue,Lounge,04/20/2026,Day 3,21:15,22:00,Show,,,,
Unleashed,Theater,04/20/2026,Day 3,21:30,22:30,Show,,,,
Anthrax,Pool,04/20/2026,Day 3,21:45,22:45,Show,,,,
Persefone,Rink,04/20/2026,Day 3,22:00,22:45,Show,,,,
Decembre Noir,Lounge,04/20/2026,Day 3,22:15,23:00,Show,,,,
Bloodred Hourglass,Rink,04/20/2026,Day 3,23:45,00:30,Show,,,,
Ex Deo,Lounge,04/20/2026,Day 3,23:45,00:30,Show,,,,
Scar Symmetry,Pool,04/20/2026,Day 3,23:45,00:30,Show,,,,
Stratovarius,Theater,04/20/2026,Day 3,23:45,00:45,Show,,,,
Majestica,Rink,04/21/2026,Day 3,01:30,02:15,Show,,Power Train Premier,,
Lord of the Lost,Pool,04/21/2026,Day 4,10:00,10:45,Show,,,,
In Virtue,Rink,04/21/2026,Day 4,10:45,11:30,Show,,,,
Fleshcrawl,Theater,04/21/2026,Day 4,10:45,11:30,Show,,,,
Victory,Lounge,04/21/2026,Day 4,11:30,12:15,Show,,,,
Strike Master,Rink,04/21/2026,Day 4,12:15,13:00,Show,,,,
Edenbridge,Theater,04/21/2026,Day 4,12:15,13:00,Show,,,,
Satan,Pool,04/21/2026,Day 4,12:15,13:00,Show,,,,
Abysmal Dawn,Lounge,04/21/2026,Day 4,13:00,13:45,Show,,,,
Avulsed,Rink,04/21/2026,Day 4,13:00,13:45,Show,,,,
Trick Or Treat,Theater,04/21/2026,Day 4,13:00,13:45,Show,,,,
Darkane,Pool,04/21/2026,Day 4,13:15,14:00,Show,,,,
Minipony,Lounge,04/21/2026,Day 4,14:45,15:30,Show,,,,
Suffocation,Pool,04/21/2026,Day 4,14:45,15:30,Show,,,,
Lich King,Rink,04/21/2026,Day 4,15:30,16:15,Show,,,,
Metsatoll,Lounge,04/21/2026,Day 4,16:30,17:15,Show,,,,
Threshold,Rink,04/21/2026,Day 4,17:00,17:45,Show,,,,
Wind Rose,Theater,04/21/2026,Day 4,17:00,17:45,Show,,,,
Seven Kingdoms,Lounge,04/21/2026,Day 4,17:15,18:00,Show,,,,
Fleshgod Apocalypse,Pool,04/21/2026,Day 4,17:45,18:30,Show,,,,
Super Monster Party,Lounge,04/21/2026,Day 4,18:00,18:45,Show,,,,
Gama Bomb,Rink,04/21/2026,Day 4,18:30,19:15,Show,,,,
Dirkschneider,Theater,04/21/2026,Day 4,18:45,19:45,Show,,,,
Arcturus,Pool,04/21/2026,Day 4,19:00,19:45,Show,,,,
Mystic Prophecy,Lounge,04/21/2026,Day 4,19:30,20:15,Show,,,,
Before The Dawn,Rink,04/21/2026,Day 4,20:15,21:00,Show,,,,
Finntroll,Theater,04/21/2026,Day 4,20:30,21:30,Show,,Dark,,
Warfield,Pool,04/21/2026,Day 4,20:45,21:30,Show,,,,
Hammerfall,Pool,04/21/2026,Day 4,21:30,22:30,Show,,,,
Samael,Rink,04/21/2026,Day 4,22:30,23:15,Show,,Ceremony Of Opposites,,
Wind Rose,Theater,04/21/2026,Day 4,22:30,23:30,Show,,,,
Swallow The Sun,Theater,04/21/2026,Day 4,23:30,00:45,Show,,Featuring Ballet Finland,,
Dark Tranquillity,Pool,04/21/2026,Day 4,23:45,00:45,Show,,,,
Sepultura,Pool,04/21/2026,Day 4,22:30,23:45,Show,,Farewell At Sea,,
Shores of Null,Rink,04/21/2026,Day 4,23:45,00:30,Show,,Beyond The Shores,,
Angra,Pool,04/22/2026,Day 4,00:45,02:00,Show,,Live Shoot,,
